Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
world,3.79008,5.31485,5.18448,6.55781,5.54906,5.71257,4.15278,5.94186,5.81559,3.96037,4.27665,5.61604,6.4069,1.797,0.63546,5.30431,4.09997,4.13667,4.17611,1.8686,1.952,0.30338,2.62459,4.7097,3.72073,3.39528,3.74768,4.63338,3.70637,2.79913,1.36983,2.0404,1.84828,3.33476,3.0814,3.54792,3.89443,2.82018,3.55303,4.51554,2.00978,2.30482,3.11129,4.47156,4.00489,4.42172,4.3815,2.07026,-1.34165,4.54033,3.32009,2.71019,2.80925,3.07353,3.08294,2.80863,3.38987,3.28805,2.59455,-3.07223,6.02381,3.08032
asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,6.9,3.9,9,9.5,7.3,12,9.1,13.2,14.6,10.1,10.5,7.2,14.9,9.5,7.8,13.2,12.3,11,8.7,-1.6,7.2,8.3,13.4,10.6,7.8,11.3,12.7,12,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2,-0.7,4.3,2.6
Afghanistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.83228,1.41412,11.22971,5.3574,13.82632,3.92498,21.39053,14.36244,0.42635,12.75229,5.60074,2.72454,1.45131,2.26031,2.647,1.18923,3.9116,-2.3511,-20.7,-
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11.7,-41.8,-8.8,5.4,6.9,5.8654,3.32108,7.3,3.3,5.9,9.6,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2,7.6,-7.2,5.7,12.6
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.7,-22.6,-23.1,-19.7,-11.8,1.3,5.8,10,7.4,11.1,9.9,9.43892,10.2083,9.2538,27.96154,34.5,25,10.75898,9.29636,5.04894,0.1,2.16524,5.8098,2.75051,1.09398,-3.1,0.2,1.5,2.5,-4.3,5.61645,4.61652
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5.3167,-7.55622,6.37638,5.00365,-4.75827,1.18299,10.39901,6.99999,0.36401,4.438,11.23,6.69,12.87001,-0.25,3.92999,4.11001,3.093,4.79,4.3,5.30007,2.49095,3.34855,6.29644,6.98096,6.769,6.467,8.29396,6.24501,2.53989,4.3343,1.98352,3.72811,5.41684,4.35039,2.48538,3.55813,4.29095,2.11113,2.16696,-4.64464,2.66971,4.86086
Bangladesh,6.05816,5.45303,-0.45589,10.95279,1.60626,2.56681,-1.87586,9.48945,1.22086,5.61985,-5.47948,-13.97373,3.32568,9.59196,-4.08821,5.66136,2.67306,7.07384,4.80163,0.81914,7.23394,2.13433,3.88105,4.80331,3.34201,4.17338,3.7724,2.41626,2.83658,5.62226,3.48523,5.44269,4.71156,3.89013,5.12128,4.52292,4.4899,5.17703,4.67016,5.29329,5.07729,3.83312,4.73957,5.23953,6.53594,6.6719,7.0586,6.01379,5.04512,5.57179,6.46438,6.52146,6.01361,6.06106,6.55264,7.11348,6.59025,7.31941,7.88191,3.44803,6.93868,7.09983
Bhutan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.12229,3.43977,10.43102,4.55666,4.02853,11.3922,29.05432,4.76737,7.35557,10.38312,-0.40788,4.60089,1.98637,4.9515,7.07412,5.56517,5.37384,5.91403,7.98397,3.35507,8.34895,10.99228,7.8233,6.00874,7.28725,6.99974,18.36085,4.79946,6.74833,11.9459,7.98262,5.1184,2.11997,5.7765,6.64223,8.12703,4.65183,3.05513,5.75517,-10.0097,4.08762,-
Brunei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.35546,20.15539,10.9167,6.77583,22.56243,-6.9967,-19.82672,3.95665,0.50147,0.59988,-1.49075,-2.71547,2.00913,1.09737,-1.07418,1.08942,3.14594,4.75858,0.30457,3.1454,4.47871,2.87832,-1.47117,-0.55851,3.05216,2.84942,2.74404,3.8721,2.90396,0.50432,0.38751,4.39772,0.15458,-1.93971,-1.76454,2.59897,3.74532,0.91284,-2.12603,-2.50835,-0.39238,-2.47792,1.3286,0.05224,3.86911,1.13357,-1.59076,-1.62833
Cambodia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-34.80864,9.90347,5.89751,4.00662,4.68163,12.70538,9.99358,8.14839,6.57894,8.5059,10.34053,13.25009,10.77108,10.21257,6.69158,0.0867,5.96308,7.06957,7.31335,7.35667,7.14257,6.9658,6.93331,6.9969,7.46917,7.05411,-3.09601,3.02639,5.16246
China,-27.27,-5.58,10.3,18.18,16.95,10.65,-5.77,-4.1,16.94,19.3,7.06,3.81,7.76,2.31,8.72,-1.57,7.57,11.32598,7.59132,7.83415,5.11276,9.01711,10.7702,15.19154,13.43068,8.94996,11.65743,11.22259,4.20633,3.92025,9.26279,14.22453,13.88373,13.03681,10.95395,9.92256,9.23678,7.84595,7.66165,8.49009,8.33573,9.13363,10.03803,10.11362,11.39459,12.72096,14.23086,9.65068,9.39873,10.63587,9.55083,7.86374,7.76615,7.42576,7.04133,6.84876,6.9472,6.74977,5.9505,2.23864,8.44748,2.9908
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.26629,16.362,7.7774,9.90557,5.75324,2.517,6.02171,5.58218,8.75789,4.88254,3.70395,7.06525,8.64678,7.94743,7.404,0.7395,9.4,0.7,5.9,8.36247,1.24858,2.64089,6.11085,4.99796,5.96531,3.95256,3.72296,2.62329,5.02634,4.853,4.71383,5.09807,3.64681,-2.01526,2.28354,0.41671,-3.44738,-6.58748,-1.77606,3.41892,6.57358,5.73348,5.64786,5.52943,-4.37247,6.63893,5.63215
Georgia,-,-,-,-,-,7.53563,6.25,4.45633,4.77815,12.05212,2.47094,2.83687,6.48276,8.80829,7.38095,6.09756,6.89655,7.42913,7.37035,4.57627,5.26742,2.00154,4.30189,5.42692,4.94166,-8.17528,1.28204,5.55556,-7.1952,-14.78823,-21.1,-44.9,-29.3,-10.39999,2.6,11.2,10.51904,3.1049,2.86926,1.83834,4.80545,5.47384,11.05872,5.7945,9.58957,9.41977,12.57895,2.41857,-3.65051,6.24949,7.4,6.36901,3.62131,4.43192,3.02221,2.90644,4.8426,4.84292,4.98235,-6.76044,10.46554,10.10872
Hong Kong,-,14.29122,15.76346,8.62817,14.64219,1.7948,1.60327,3.39738,11.34375,9.20687,7.29304,10.61185,12.27954,2.4152,0.49188,16.16433,11.72566,8.26088,11.55658,10.10814,9.26078,2.94987,5.97703,9.97379,0.75716,11.05616,13.39853,8.51159,2.27697,3.83054,5.70195,6.2349,6.20122,6.03615,2.37375,4.25851,5.09977,-5.88258,2.50664,7.66347,0.5608,1.6567,3.05629,8.70006,7.38815,7.03263,6.46484,2.12785,-2.45906,6.76769,4.81473,1.70032,3.10155,2.76238,2.38785,2.17542,3.7961,2.84692,-1.67243,-6.5448,6.44172,-3.47633
India,3.72274,2.93113,5.99435,7.45295,-2.63577,-0.05533,7.82596,3.38793,6.5397,5.15723,1.64293,-0.5533,3.29552,1.18534,9.14991,1.6631,7.25476,5.71253,-5.23818,6.73582,6.0062,3.47573,7.28889,3.82074,5.2543,4.77656,3.96536,9.62778,5.94734,5.53345,1.05683,5.4824,4.75078,6.65892,7.57449,7.54952,4.04982,6.18442,8.84576,3.84099,4.82397,3.80398,7.86038,7.92294,7.92343,8.06073,7.66082,3.0867,7.86189,8.49758,5.24132,5.45639,6.38611,7.41023,7.99625,8.25631,6.79538,6.45385,3.87144,-5.83105,9.05028,7.00295
Indonesia,5.74065,1.84198,-2.23703,3.5297,1.08159,2.79135,1.3804,10.91518,6.8223,7.55463,7.024,7.03764,8.10398,7.23424,5.60748,7.07965,8.26446,6.87023,7.14286,10,7.87879,2.24719,4.3956,6.84211,2.46305,5.76923,5,5.62771,7.78689,7.22433,6.77582,6.49751,6.49641,7.53997,8.22001,7.81819,4.69988,-13.12673,0.79113,4.92007,3.64347,4.49948,4.78037,5.03087,5.69257,5.50095,6.34502,6.0137,4.62887,6.22385,6.16978,6.03005,5.55726,5.00667,4.87632,5.03307,5.06979,5.17429,5.01929,-2.06551,3.70306,5.3086
