Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
world,4.695,4.574,5.03,5.317,5.133,5.081,4.963,4.856,4.963,4.867,4.828,4.682,4.547,4.421,4.265,4.084,3.977,3.852,3.79,3.776,3.75,3.716,3.713,3.578,3.552,3.515,3.505,3.48,3.391,3.346,3.308,3.127,3.041,2.976,2.926,2.878,2.833,2.794,2.758,2.73,2.734,2.7,2.672,2.647,2.636,2.619,2.612,2.612,2.613,2.605,2.587,2.573,2.59,2.56,2.553,2.524,2.526,2.504,2.443,2.406,2.349,2.321,2.314
South Korea,5.949,5.81,5.624,5.407,5.188,4.995,4.81,4.634,4.489,4.47,4.414,4.253,4.069,3.886,3.677,3.406,3.179,2.999,2.781,2.74,2.716,2.631,2.438,2.172,1.927,1.75,1.658,1.595,1.57,1.576,1.602,1.669,1.698,1.67,1.653,1.628,1.584,1.546,1.491,1.445,1.415,1.301,1.195,1.169,1.136,1.096,1.127,1.193,1.177,1.165,1.217,1.249,1.262,1.214,1.204,1.203,1.147,1.051,0.97,0.914,0.887,0.88,0.874
Afghanistan,7.282,7.284,7.292,7.302,7.304,7.305,7.32,7.339,7.363,7.389,7.4,7.432,7.453,7.487,7.526,7.542,7.561,7.591,7.599,7.612,7.588,7.568,7.553,7.537,7.513,7.517,7.519,7.526,7.531,7.533,7.565,7.606,7.665,7.719,7.717,7.712,7.709,7.667,7.642,7.599,7.534,7.446,7.339,7.22,7.069,6.905,6.722,6.53,6.376,6.235,6.099,5.958,5.83,5.696,5.56,5.405,5.262,5.129,5.002,4.87,4.75,4.643,4.523
Armenia,4.786,4.67,4.521,4.345,4.15,3.988,3.829,3.731,3.622,3.488,3.402,3.357,3.27,3.155,3.051,2.957,2.851,2.76,2.656,2.557,2.505,2.499,2.503,2.572,2.629,2.649,2.649,2.66,2.68,2.706,2.713,2.645,2.508,2.315,2.167,2.055,1.97,1.892,1.791,1.709,1.603,1.544,1.525,1.534,1.541,1.54,1.349,1.418,1.441,1.551,1.501,1.5,1.6,1.6,1.703,1.602,1.626,1.562,1.572,1.575,1.575,1.575,1.575
Azerbaijan,5.878,5.937,5.961,5.945,5.888,5.792,5.663,5.377,5.222,5.065,4.913,4.769,4.615,4.451,4.33,4.176,4.018,3.869,3.73,3.605,3.497,3.41,3.343,3.293,3.259,3.213,3.156,3.182,3.146,3.056,2.994,2.958,2.886,2.788,2.683,2.533,2.385,2.247,2.127,2.046,1.974,1.907,1.871,1.883,1.924,1.937,1.975,2.016,2.057,2.08,2.086,2.129,2.158,2.165,2.156,2.102,2,1.752,1.732,1.835,1.684,1.664,1.66
Bahrain,7.152,7.123,7.096,7.068,7.061,6.996,6.922,6.828,6.703,6.562,6.427,6.284,6.128,5.961,5.785,5.624,5.464,5.306,5.151,4.971,4.801,4.643,4.537,4.44,4.323,4.278,4.22,4.089,3.965,3.897,3.758,3.593,3.519,3.415,3.263,3.127,3.007,2.936,2.889,2.869,2.778,2.664,2.69,2.727,2.71,2.619,2.455,2.289,2.172,2.087,2.053,2.093,2.161,2.164,2.158,2.131,2.073,2.006,1.93,1.857,1.832,1.811,1.797
Bangladesh,6.784,6.831,6.865,6.841,6.837,6.83,6.824,6.854,6.85,6.863,6.882,6.865,6.845,6.819,6.794,6.737,6.674,6.593,6.516,6.424,6.323,6.239,6.116,5.891,5.727,5.541,5.3,5.073,4.844,4.676,4.479,4.24,4.026,3.852,3.774,3.605,3.504,3.491,3.393,3.304,3.218,3.146,3.084,3.002,2.914,2.808,2.712,2.626,2.535,2.44,2.34,2.262,2.209,2.184,2.152,2.114,2.097,2.043,2.04,2.031,2.003,1.981,1.95
Bhutan,6.704,6.698,6.692,6.687,6.682,6.679,6.674,6.669,6.664,6.658,6.65,6.643,6.639,6.633,6.618,6.62,6.616,6.605,6.584,6.553,6.511,6.46,6.402,6.336,6.262,6.176,6.103,5.999,5.88,5.757,5.604,5.451,5.267,5.072,4.866,4.624,4.369,4.088,3.853,3.607,3.414,3.232,3.078,2.916,2.893,2.798,2.669,2.59,2.496,2.381,2.296,2.21,2.138,2.087,2.027,1.957,1.835,1.704,1.569,1.46,1.433,1.413,1.398
Brunei,6.836,6.771,6.683,6.572,6.44,6.297,6.156,6.026,5.912,5.812,5.719,5.619,5.5,5.355,5.183,4.99,4.784,4.58,4.389,4.216,4.067,3.943,3.84,3.751,3.675,3.608,3.546,3.488,3.428,3.363,3.29,3.206,3.111,3.007,2.897,2.785,2.677,2.578,2.489,2.413,2.346,2.284,2.22,2.154,2.086,2.022,1.969,1.933,1.918,1.921,1.937,1.957,1.973,1.978,1.969,1.947,1.915,1.881,1.848,1.819,1.796,1.778,1.764
Cambodia,6.251,6.122,5.996,5.852,5.862,5.823,5.769,5.712,5.648,5.559,5.72,5.866,5.991,5.559,4.797,4.103,3.409,2.716,3.338,4.556,5.774,6.042,6.193,6.296,6.338,6.313,6.226,6.097,5.944,5.723,5.644,5.565,5.447,5.274,5.052,4.824,4.594,4.391,4.139,3.922,3.772,3.652,3.555,3.442,3.345,3.244,3.145,3.084,2.969,2.871,2.774,2.701,2.664,2.62,2.589,2.55,2.512,2.473,2.435,2.402,2.381,2.344,2.322
